creator_name,YT_Title,YT_id,YT_Username,Facebook_Username,Instagram handle,TikTok_Username,AdWords Placement,YT_content_owner,country,industry,property,Content Genre,themes,YT_category,Facebook_category,Twitch_URL,TikTok_URL,Tubular_Profile_URL,Feb_2024_YouTube_V30,Feb_2024_Facebook_V30,Feb_2024_Instagram_V30,Feb_2024_TikTok_V30,Feb_2024_YouTube_ER30,Feb_2024_Facebook_ER30,Feb_2024_Instagram_ER30,Feb_2024_TikTok_ER30,Feb_2024_YouTube_E30,Feb_2024_Facebook_E30,Feb_2024_Instagram_E30,Feb_2024_TikTok_E30,YT_Current_All_Time_Subscribers,Facebook_Current_All_Time_Followers,Instagram_Current_All_Time_Followers,Twitter_Current_All_Time_Followers,Twitch_Current_All_Time_Followers,TikTok_Current_All_Time_Followers,YT_Current_All_Time_Views,Facebook_Current_All_Time_Views,Instagram_Current_All_Time_Views,Twitter_Current_All_Time_Views,Twitch_Current_All_Time_Views,YT_Current_All_Time_Engagements,Facebook_Current_All_Time_Engagements,Instagram_Current_All_Time_Engagements,Twitter_Current_All_Time_Engagements,YT_Total_Uploads,Facebook_Total_Uploads,Instagram_Total_Uploads,Twitter_Total_Uploads,TikTok_Total_Uploads,30d_YT_Subscribers,30d_Facebook_Followers,30d_Instagram_Followers,30d_Twitter_Followers,30d_Twitch_Followers,30d_TikTok_Followers,Feb_2024_YT_Subscribers_Growth,Feb_2024_Facebook_Followers_Growth,Feb_2024_Instagram_Followers_Growth,Feb_2024_Twitter_Followers_Growth,Feb_2024_Twitch_Followers_Growth,Feb_2024_TikTok_Followers_Growth,Feb_2024_YT_Views,Feb_2024_Facebook_Views,Feb_2024_Instagram_Views,Feb_2024_Twitter_Views,Feb_2024_TikTok_Views,Feb_2024_YT_Views_Growth,Feb_2024_Facebook_Views_Growth,Feb_2024_Instagram_Views_Growth,Feb_2024_Twitter_Views_Growth,Feb_2024_TikTok_Views_Growth,Feb_2024_YT_Engagements,Feb_2024_Facebook_Engagements,Feb_2024_Instagram_Engagements,Feb_2024_Twitter_Engagements,Feb_2024_TikTok_Engagements,Feb_2024_YT_Engagements_Growth,Feb_2024_Facebook_Engagements_Growth,Feb_2024_Instagram_Engagements_Growth,Feb_2024_Twitter_Engagements_Growth,Feb_2024_TikTok_Engagements_Growth,influencer score,YT_last_upload_date,YT_%_30_days_sub_growth,Facebook_%_30_days_Followers_Growth,Instagram_%_30_days_Followers_Growth,Twitter_%_30_days_Followers_Growth,Twitch_%_30_days_Followers_Growth,TikTok_%_30_days_Followers_Growth,YT_uploads_last_30_days,TikTok_uploads_last_30_days,YT_audience_location_country_1,YT_audience_location_country_1_%,YT_audience_location_country_2,YT_audience_location_country_2_%,YT_audience_location_country_3,YT_audience_location_country_3_%,FB_audience_location_country_1,FB_audience_location_country_1_%,FB_audience_location_country_2,FB_audience_location_country_2_%,FB_audience_location_country_3,FB_audience_location_country_3_%,YT_male_all_%,YT_female_all_%,YT_demo_last_update,FB_demo_last_update,YT_gid,Facebook_gid,Instagram_gid,Twitter_gid,Twitch_gid,TikTok_gid
Dillon Latham,Dillon Latham,9e1l_HMVgy49zQJ7zE13LQ,,,,,http://youtube.com/channel/UC9e1l_HMVgy49zQJ7zE13LQ,,US,,,Entertainment,"perm,hairstyle,acne,skin,hair,cosmetics,face,clothing",Entertainment,,,,https://tubularlabs.com/creator/4d2Ld2ivXR03YQ27301,166595,,,,3.534,,,,10832,,,,245000,,,,,,135301695,,,,,7424914,,,,928,,,,,20000,,,,,,0.0,,,,,,23411709,,,,,0.1662491025867619,,,,,1278973,,,,,0.015326272737159901,,,,,639.4918741549259,20240406T210442Z,0.08163265306122401,,,,,,45,,US,55.233853006681514,CA,7.646622123236822,GB,6.161841128433556,,,,,,,64.85534856059938,35.144651439400626,2024-03,,yta_9e1l_HMVgy49zQJ7zE13LQ,,,,,
HHHamstertime,HHHamstertime,RWJeoEPaAplWGruzBcPe-g,,,,,http://youtube.com/channel/UCRWJeoEPaAplWGruzBcPe-g,,US,,,Beauty,"skin care,cosmetics",People & Blogs,,,,https://tubularlabs.com/creator/5F4ADtuTW03VusDx01,63520,,,,2.682,,,,3134,,,,35500,,,,,,16877090,,,,,856705,,,,526,,,,,8400,,,,,,0.30498533724340177,,,,,,3162709,,,,,-0.23106029110072798,,,,,173617,,,,,-0.09156694590224836,,,,,639.1271558785653,20240406T182245Z,0.236619718309859,,,,,,37,,US,63.94101876675603,GB,11.93029490616622,CA,4.691689008042895,,,,,,,25.965787555888205,74.0342124441118,2024-03,,yta_RWJeoEPaAplWGruzBcPe-g,,,,,
Meredith Duxbury,Meredith Duxbury,WobUiWDdG8dHlyXSipZ92A,meredithduxbury,meredithduxburyverse,meredithduxbury,meredithduxbury,http://youtube.com/channel/UCWobUiWDdG8dHlyXSipZ92A,,US,,,Beauty,"vlog,cosmetics,lip,skin care,foundation,Internet meme",People & Blogs,Public figure,,https://www.tiktok.com/@meredithduxbury,https://tubularlabs.com/creator/26UJZe92J03S19MF01,418301,,,2486794,3.8446,,,1.1952,29590,,20857,118892,1340000,,1992954,,,18800000,846321326,0,29583,,,54467474,396640,55596582,,895,96,1004,,1968,20000,,-22302,,,0,0.5,,,,,-2.0,20485676,0,,,53785336,0.17571514667717478,,,,-2.0,908526,0,711567,,3022900,0.2327387591282473,,-0.004758248259714757,,-0.3506179644819455,638.7788334128043,20240327T163517Z,0.014925373134328,,-0.01119042386327,,,0.0,6,38,US,59.62962962962963,GB,7.142857142857142,CA,5.767195767195767,,,,,,,13.143974173082842,86.85602582691715,2024-03,,yta_WobUiWDdG8dHlyXSipZ92A,fba_102298649399933,iga_1396783001,,,tka_6785866116469343237
Chloe Bean,Chloe Bean,GnkMQZ_ZlVzvoQH40FAX4w,,,chloebean.xo,,http://youtube.com/channel/UCGnkMQZ_ZlVzvoQH40FAX4w,,US,,,Beauty,"viral phenomenon,eyebrow,wig,makeover,alopecia,human hair,hair,baldness,comedy,blooper,cosmetics,humor",People & Blogs,,,,https://tubularlabs.com/creator/4BYpJuPjT03YtZsS01,998452,,,,2.8057,,,,51545,,,,1270000,,,,,,881804148,,,,,42972976,,,,431,,,,,20000,,,,,,-0.4,,,,,,21346911,,,,,-0.4603143306065951,,,,,739080,,,,,-0.39227741383237386,,,,,638.0448549072419,20240331T192925Z,0.015748031496062,,,,,,10,,US,60.65344875733035,GB,6.255235967606813,CA,5.696732756213349,,,,,,,26.096488590924416,73.90351140907558,2024-03,,yta_GnkMQZ_ZlVzvoQH40FAX4w,,iga_7576010837,,,
1timelesslove,1timelesslove,cJagZZVJPhnozbGnX762ow,,,1timelesslove,1timelesslove,http://youtube.com/channel/UCcJagZZVJPhnozbGnX762ow,,US,,,Beauty,"lip,lipstick,cosmetics,make-up artist,tooth bleaching,cleanliness,eye,glitter,tooth,tutorial,autonomous sensory meridian response,teeth cleaning",Howto & Style,,,https://www.tiktok.com/@1timelesslove,https://tubularlabs.com/creator/5G8u4DLnd03YySPj01,614919,,,456097,1.3484,,,0.35860000000000003,15256,,3010,6542,535000,,16275,,,52200,373779637,,0,,,9073229,,788917,,565,,844,,561,77000,,1356,,,3900,-0.20618556701030927,,3.0476987447698747,,,-0.0967741935483871,48763512,,,,16550436,-0.24079129507535413,,,,-0.0967741935483871,1194708,,362491,,336352,-0.21325064848600989,,0.6352141394274579,,-0.012367719430121799,637.3287229421397,20240406T164424Z,0.143925233644859,,0.08331797235023,,,0.07471264367816001,43,19,US,54.78806907378336,BR,6.750392464678178,GB,4.552590266875981,,,,,,,35.775959269837514,64.22404073016249,2024-03,,yta_cJagZZVJPhnozbGnX762ow,,iga_331305813,,,tka_6900274136012293125
Yiseni Perez,Yiseni Perez,WpbD21GfvTVA-yl57AXx0Q,,,yiseniperez,yiseniperez,http://youtube.com/channel/UCWpbD21GfvTVA-yl57AXx0Q,,US,,,Music & Dance,cosmetics,Entertainment,,http://www.twitch.tv/yiseniperez,https://www.tiktok.com/@yiseniperez,https://tubularlabs.com/creator/rhNfZwfzil,467317,,,89995,4.1635,,,5.2697,35800,,19259,20508,1090000,,173918,11097,4956,517100,122041282,,438972,22472,2385,9526512,,4286437,2036,456,,230,28,468,20000,,-126,0,52,3000,-0.6,,-0.8207152368270877,,-0.4172661870503597,-1.0,3141794,,,0,509770,-0.3348703028486227,,,,-1.0,179651,,53314,0,54566,-0.40305961395965484,,-0.6723312457362006,,-0.839255045558053,636.5726965392314,20240331T180144Z,0.018348623853211,,-0.0007244793523384583,0.0,0.01049233252623,0.005801585766776,3,10,MX,34.51043338683788,AR,9.684323167469234,CL,8.667736757624397,,,,,,,24.458963423405432,75.54103657659456,2024-03,,yta_WpbD21GfvTVA-yl57AXx0Q,,iga_1181214257,twa_1771896680,tta_yiseniperez,tka_6650413383190413317
Hope Marie,Hope Marie,WEdEodGzdz8ufIIodsPSwA,,,,,http://youtube.com/channel/UCWEdEodGzdz8ufIIodsPSwA,,US,,,Entertainment,"cosmetics,clothing,shirt",Gaming,,,,https://tubularlabs.com/creator/2N3RoUPtzX03YEvks01,377419,,,,2.1537,,,,14956,,,,190000,,,,,,61876065,,,,,1962477,,,,568,,,,,1000,,,,,,-0.4754653130287648,,,,,,7167771,,,,,-0.40145559160464545,,,,,211083,,,,,-0.555070517833392,,,,,636.4614879656754,20240406T174420Z,0.005263157894736001,,,,,,17,,US,64.97175141242938,GB,8.022598870056497,CA,3.615819209039548,,,,,,,26.849542924522947,73.15045707547705,2024-03,,yta_WEdEodGzdz8ufIIodsPSwA,,,,,
Erin Parsons Makeup ,Erin Parsons Makeup ,zViyYYoAyeH0O1zySGdJTg,,,,,http://youtube.com/channel/UCzViyYYoAyeH0O1zySGdJTg,,US,,,Beauty,"hairstyle,waves,hair,cosmetics,vintage clothing,eye shadow,comb,lip,lipstick",Howto & Style,Maquillador(a),,,https://tubularlabs.com/creator/2pKWACNeB03Z4kba01,,,,,,,,,,,,,1380000,,,,,,436888275,2327826,,,,29646830,3145232,,,119,251,,,,10000,,,,,,-0.625,,,,,,9001448,0,,,,-0.6557742346243216,,,,,423124,0,,,,-0.6802873699139598,,,,,635.6103748217805,20240201T003929Z,0.007246376811594001,,,,,,0,,US,62.982559278855575,CA,5.604546345287086,GB,5.212620027434842,,,,,,,23.999545889305544,76.00045411069445,2024-03,,yta_zViyYYoAyeH0O1zySGdJTg,fba_107700195091968,,,,
Michelle Choi,Michelle Choi,qJODva8CJ_JTbi5ssC2L-g,michellechoii,,michellechoii,,http://youtube.com/channel/UCqJODva8CJ_JTbi5ssC2L-g,"AwesomenessTV 2,Awesomeness Media",US,,,People & Blogs,"skin,foundation,vlog,hair,makeover,clothing,skin care,cosmetics",Howto & Style,,,,https://tubularlabs.com/creator/xXNcHSohxx,615163,,,,2.3296,,,,26369,,37426,,2180000,,673257,,,,202826022,,654253,,,6455750,,2925672,,319,,86,,,10000,,8681,,,,-0.5,,1.1058926487747958,,,,2147295,,,,,-0.2841414611509237,,,,,60978,,301537,,,-0.41910777056957504,,0.4573411499741432,,,635.4371244039161,20240401T002333Z,0.0045871559633020005,,0.012894036007052,,,,3,,US,37.49072011878248,PH,8.537490720118782,CA,6.533036377134373,,,,,,,9.569565762034053,90.43043423796595,2024-03,,yta_qJODva8CJ_JTbi5ssC2L-g,,iga_20097808,,,
Kate Marie,Kate Marie,Z35ID5nx3CXcJ2sNvCvL-A,,,,,http://youtube.com/channel/UCZ35ID5nx3CXcJ2sNvCvL-A,,US,,,Entertainment,"Snapchat,cosmetics,humor,clothing",Comedy,,,,https://tubularlabs.com/creator/4dRpbxogV03bUExv01,342871,,,,3.7692,,,,23779,,,,240000,,,,,,66406664,,,,,3721678,,,,147,,,,,52000,,,,,,-0.4091580502215657,,,,,,17640934,,,,,0.12875328186516477,,,,,702716,,,,,-0.3009240882723658,,,,,634.9818611182413,20240406T170026Z,0.216666666666666,,,,,,30,,US,64.73988439306359,CA,7.976878612716763,GB,5.895953757225433,,,,,,,24.575880630089166,75.42411936991084,2024-03,,yta_Z35ID5nx3CXcJ2sNvCvL-A,,,,,
RawBeautyKristi,RawBeautyKristi,OtoxvHLKrIlWbt4MRBWfbQ,rawbeautykristi,,rawbeautykristi,rawbeautykristi,http://youtube.com/channel/UCOtoxvHLKrIlWbt4MRBWfbQ,,US,,,Beauty,"eye,eye shadow,foundation,palette,lip,cosmetics,Huda Beauty,skin,concealer,eyebrow,face,blusher",Howto & Style,Public Figure,,https://www.tiktok.com/@rawbeautykristi,https://tubularlabs.com/creator/RkHaNuIpkN,107515,,,17068,4.4332,,,2.6048,8770,,7463,1778,1120000,133271,525441,,,72000,171043360,18429239,30236134,8909642,,10468013,170440,3298503,662706,854,296,310,61,64,0,0,12489,,,400,,-67.5,,,,,429813,72126,,0,40997,-0.4784316533143707,-0.5640273941137715,,,,30790,263,9419,0,2628,-0.4629713607981302,-0.5504273504273505,0.3065612428908309,,1.6981519507186857,634.7899136094386,20240405T232352Z,0.0,0.0,0.023768605799699003,,,0.005555555555555001,4,4,US,72.89597000937206,CA,8.209934395501406,GB,4.311152764761013,US,77.37306843267108,GB,5.298013245033113,CA,4.525386313465784,4.931769430879467,95.06823056912054,2024-03,2018-02,yta_OtoxvHLKrIlWbt4MRBWfbQ,fba_363108873798791,iga_343420461,twa_1236507698,,tka_137075997199306752
AllyiahsFace,AllyiahsFace,iiFVjk0cuq6NPeIG0p0Yrg,,,allyiahsface,allyiahsface,http://youtube.com/channel/UCiiFVjk0cuq6NPeIG0p0Yrg,,US,,,Beauty,"hair,eyelash,concealer,foundation,eyebrow,cosmetics,clothing,eye shadow,shoe,handbag,vlog,skin",People & Blogs,,,https://www.tiktok.com/@allyiahsface,https://tubularlabs.com/creator/06ZAUU3XLh,203381,,,161709,2.9877000000000002,,,3.4573,11180,,18498,22363,835000,,524085,105917,,350800,125335993,,1525928,61579163,,5887087,,2497504,2328577,795,,164,274,292,2000,,1566,0,,1000,-0.5,,0.4745762711864407,,,-1.2,1194376,,,0,828803,0.006873924105268659,,,,-1.2,52794,,37426,0,87700,0.17181985661332208,,-0.5520687467834787,,-0.49127569724813214,633.3551186992164,20240327T231053Z,0.0023952095808380002,,0.002988064913134,0.0,,0.00285062713797,4,13,US,84.65415849901989,CA,4.17250070008401,GB,3.7804536544385323,,,,,,,5.359634560352642,94.64036543964735,2024-03,,yta_iiFVjk0cuq6NPeIG0p0Yrg,,iga_31592727,twa_3191484723,,tka_6758039324162212870
Voronina Valeria,VORONINA VALERIA,o-D4xTVVp12UQ-XmL32ESQ,,,voronina_valeria_,voronina_valeria_,http://youtube.com/channel/UCo-D4xTVVp12UQ-XmL32ESQ,,US,,,Music & Dance,"Whitney Houston,cosmetics,mother,Internet meme,makeover,hair,cover version",Music,,,https://www.tiktok.com/@voronina_valeria_,https://tubularlabs.com/creator/5r38RkXTyA03Wq1GA01,558157,,,11247566,4.6328,,,3.2498,47579,,622008,1462078,813000,,1907656,,,6300000,215060627,,0,,,9792749,,25937163,,110,,125,,253,16000,,-5730,,,0,0.06896551724137931,,-1.0658585725137892,,,,12532946,,,,25393032,1.1618796514551308,,,,,773573,,2139007,,3243559,1.8769231913540532,,1.754925749906624,,1.8412369996172042,633.2205053612096,20240329T210448Z,0.019680196801968003,,-0.003003686199188,,,0.0,3,2,US,32.95515937331172,RU,10.91301998919503,BR,7.8876283090221495,,,,,,,35.64724561811231,64.35275438188769,2024-03,,yta_o-D4xTVVp12UQ-XmL32ESQ,,iga_4557766243,,,tka_289660282791088128
Aylen Park,Aylen Park,zQtGpWcgOyG0iCc-si1MWw,,,aylenpark,aylennpark,http://youtube.com/channel/UCzQtGpWcgOyG0iCc-si1MWw,,US,,,Beauty,"foundation,skin,food,cooking,cosmetics,snack,mukbang,skin care,Korean cuisine,facial,mother,recipe",People & Blogs,Digital creator,,https://www.tiktok.com/@aylennpark,https://tubularlabs.com/creator/6ZY93iS2q03VzJ4d01,2256914,,,1895946,3.2482,,,2.0845,134888,,95004,158085,506000,49634,823513,,,1200000,273250199,0,0,,,15572984,407463,16395577,,74,986,247,,804,52000,0,35323,,,0,-0.5137614678899083,-0.4357976653696498,-0.487749709855051,,,,29937924,0,,,27124695,-0.49358134118737024,,,,,1420953,13714,1986173,,1785810,-0.5771311761052463,-0.432179529645578,-0.4891602613646155,,-0.6024012532149702,632.9386088510045,20240405T185015Z,0.102766798418972,0.0,0.042893069083305,,,0.0,8,23,US,53.38031845471156,CA,4.829026363873662,GB,4.7768206734534076,,,,,,,20.41545578805933,79.58454421194067,2024-03,,yta_zQtGpWcgOyG0iCc-si1MWw,fba_108993318960992,iga_312972622,,,tka_6744160224883540998
Dominique Sachse,Dominique Sachse,XrsVPFsk-66NTaoGMXoPFQ,dominiquesachsetv,kprc2dominiquesachse,dominiquesachse,dominiquesachse,http://youtube.com/channel/UCXrsVPFsk-66NTaoGMXoPFQ,"Studio71_2_4,Studio71",US,,,Beauty,"hairstyle,lip,eye,sash,clothing,skin care,foundation,short hair,fashion,hair,cosmetics,skin",Howto & Style,Public Figure,,https://www.tiktok.com/@dominiquesachse,https://tubularlabs.com/creator/eLxHXyL3si,103911,,,17896,2.7932,,,0.5736,5340,,4533,410,1870000,185849,451786,,,61000,253662392,3889260,7643673,12921,,7014832,149737,3538111,393,590,272,614,13,291,0,0,1682,,,200,,,1.9753549424055719,,,-0.7,2281499,52,,0,256857,-0.19963073896409053,-0.38095238095238093,,,-0.7,100145,2,79066,0,6993,-0.1250425924146186,-0.8,0.04035579415518625,,-0.20723274005214828,632.2669406376153,20240404T180019Z,0.0,0.0,0.0037230015981010002,,,0.0032786885245900004,10,8,US,77.7895293495505,CA,6.345848757271286,GB,2.908514013749339,US,84.12188223193623,GB,2.455644124453587,CA,2.455644124453587,6.345865500737196,93.65413449926281,2024-03,2018-02,yta_XrsVPFsk-66NTaoGMXoPFQ,fba_114379945268535,iga_294207128,twa_33602679,,tka_6937526968024597510
kinryyy,kinryyy, -pDutOeU-xRK0B9J73V9eQ,,,kinryyy,kinrusha,http://youtube.com/channel/UC-pDutOeU-xRK0B9J73V9eQ,,US,,,Entertainment,"Facebook,BTS,reaction video,Internet meme,K-pop,vlog,Instagram,hair,TikTok,blooper,cosmetics,humor",People & Blogs,,http://www.twitch.tv/kinryyy,https://www.tiktok.com/@kinrusha,https://tubularlabs.com/creator/6S2MXPH6E03QzFKq01,166174,,,371666,4.8669,,,3.5122,14880,,80812,52214,1900000,,570550,,9292,529700,609426065,,1156752,57515,54997,39113356,,14945661,5174,1067,,268,10,509,20000,,-5788,,3,-2700,0.0,,-3.295628661559261,,,,14890369,,,0,458207,0.3792593070139387,,,,,762579,,121946,0,14619,0.12496680769707377,,-0.7593799514205829,,-0.5620693787070876,631.8194376526735,20240405T180534Z,0.010526315789473,,-0.010144597318377,,0.0003228583727938011,-0.005097224844251001,13,8,US,41.42194744976816,CA,5.7187017001545595,GB,5.100463678516228,,,,,,,26.41510466840048,73.58489533159951,2024-03,,yta_-pDutOeU-xRK0B9J73V9eQ,,iga_1749425553,twa_1011811828899418112,tta_kinryyy,tka_6610353227333861381
Kirah Ominique,Kirah Ominique,pUtNtqyGxuh3cmfSkMrJMQ,,,kirahominique,kirahominique,http://youtube.com/channel/UCpUtNtqyGxuh3cmfSkMrJMQ,,US,,,Beauty,"skin,Sephora,cosmetics,vlog,haul video,clothing,skin care,dating,nail,travel,hair,acne",Howto & Style,Création digitale,,https://www.tiktok.com/@kirahominique,https://tubularlabs.com/creator/IQPWzezrIO,121533,,,192929,3.065,,,3.7948,6854,,27304,29935,446000,13491,406563,21353,,281000,70507114,4941,2575667,134596,,3409068,72594,1536803,13238,531,24,102,11,326,3000,0,2570,0,,4000,-0.4,0.45132743362831856,1.0784148397976392,,,0.574468085106383,734726,32,,0,2463570,-0.2612277443558369,2.2,,,0.574468085106383,26451,504,150348,0,324320,-0.3841586924635049,0.5899053627760252,121.83333333333333,,-0.22960527722285434,631.8133210144424,20240405T222127Z,0.006726457399103001,0.0,0.0063212835403120005,0.0,,0.014234875444839002,8,18,US,88.88888888888889,GB,3.068783068783069,CA,2.91005291005291,,,,,,,5.002786371838009,94.99721362816199,2024-03,,yta_pUtNtqyGxuh3cmfSkMrJMQ,fba_107596474089056,iga_23988840,twa_1283378852698501121,,tka_6782294654735401989
msnewslady,msnewslady,0G2x1VkZaIfXMqw2l0y0fw,jeannetterey89,,,,http://youtube.com/channel/UC0G2x1VkZaIfXMqw2l0y0fw,,US,,,Entertainment,"hair,news,cosmetics",News & Politics,,,,https://tubularlabs.com/creator/38249f7GNh03L8B8d01,212837,,,,4.6446000000000005,,,,18189,,,,241000,,,,,,64911243,,,,,4873297,,,,268,,,,,40000,,,,,,-0.574468085106383,,,,,,7440072,,,,,-0.4949080228942943,,,,,532803,,,,,-0.38670017082053715,,,,,631.238596307313,20240406T033838Z,0.16597510373443902,,,,,,8,,US,91.60770919736521,GB,2.268846060014637,CA,1.805318370334227,,,,,,,36.68193232805643,63.318067671943574,2024-03,,yta_0G2x1VkZaIfXMqw2l0y0fw,,,,,
It’s Abby,It’s Abby,TPR-WgKuO1KooiW2Ac_4BQ,,,,,http://youtube.com/channel/UCTPR-WgKuO1KooiW2Ac_4BQ,,US,,,Entertainment,"YouTube,cosmetics,humor,clothing",People & Blogs,,,,https://tubularlabs.com/creator/kaMm2pkRH03ZDAat01,,,,,,,,,,,,,408000,,,,,,39391251,,,,,6262748,,,,1593,,,,,47000,,,,,,,,,,,,4939,,,,,-0.19429037520391518,,,,,103,,,,,-0.08035714285714286,,,,,630.4396145659556,20240406T144433Z,0.11519607843137201,,,,,,56,,,,,,,,,,,,,,,,,,yta_TPR-WgKuO1KooiW2Ac_4BQ,,,,,
Keara’s ASMR,Keara’s ASMR,1bK2H0VuXltMh_f0Ry6kzg,,,,,http://youtube.com/channel/UC1bK2H0VuXltMh_f0Ry6kzg,,US,,,Entertainment,"hair,autonomous sensory meridian response,cosmetics",People & Blogs,,,,https://tubularlabs.com/creator/7RzzSECDj03Wm27m01,353700,,,,3.5002,,,,22779,,,,611000,,,,,,143948278,,,,,7024141,,,,416,,,,,39000,,,,,,-0.15384615384615385,,,,,,13106310,,,,,-0.004344059741589865,,,,,645616,,,,,0.046350424704667784,,,,,629.8469788177847,20240328T180006Z,0.063829787234042,,,,,,12,,US,57.42690058479533,GB,7.485380116959065,CA,5.497076023391813,,,,,,,30.2166782327045,69.78332176729549,2024-03,,yta_1bK2H0VuXltMh_f0Ry6kzg,,,,,
Whispering Willow ASMR,Whispering Willow ASMR,XTAGLo2UWlOwNMpbEkyBOw,,,whispering.willow.asmr,whisperingwillowasmr,http://youtube.com/channel/UCXTAGLo2UWlOwNMpbEkyBOw,,US,,,Entertainment,"hair,oddly satisfying video,skin care,TikTok,cosmetics,autonomous sensory meridian response,hairbrush",Entertainment,,,https://www.tiktok.com/@whisperingwillowasmr,https://tubularlabs.com/creator/5fGo7TC6703Ththw01,319801,,,1168462,5.1947,,,1.8980000000000001,30567,,17818,88707,842000,,253164,,,2200000,155316932,,0,,,9693160,,2749609,,432,,335,,1378,56000,,59217,,,100000,0.29411764705882354,,-0.6738589519812828,,,-1.0,16975645,,,,27343989,0.36429318675768896,,,,-1.0,1332165,,185544,,1414095,0.5534998979621585,,-0.4731138826415866,,-0.1647933858915084,629.4439543814811,20240405T195112Z,0.06650831353919201,,0.23390766459686202,,,0.045454545454545005,15,16,US,57.1353894406691,GB,6.1683220073183485,CA,4.025091479351803,,,,,,,16.34184707597584,83.65815292402417,2024-03,,yta_XTAGLo2UWlOwNMpbEkyBOw,,iga_44963251146,,,tka_6915475906765456389
AlishaMarieVlogs,AlishaMarieVlogs,F1Q_zp3Eh3nuEHvMbdKkqg,vlogbby11,,,,http://youtube.com/channel/UCF1Q_zp3Eh3nuEHvMbdKkqg,"AwesomenessTV 2,Awesomeness Media",US,,,People & Blogs,"travel,Christmas,haul video,holiday,Twitter,cosmetics,humor,Christmas gift,clothing,vlog,interior design",Howto & Style,,,,https://tubularlabs.com/creator/xfbeeGXWP2,171941,,,,2.7178,,,,8598,,,,3040000,,,,,,684976348,,,,,35521424,,,,1301,,,,,-10000,,,,,,,,,,,,1687688,,,,,0.2479557988171806,,,,,66846,,,,,0.22363579783631404,,,,,629.342289206903,20240401T170817Z,-0.00328947368421,,,,,,6,,US,68.5909373060211,CA,9.404096834264433,GB,1.955307262569832,,,,,,,7.838712535321077,92.16128746467892,2024-03,,yta_F1Q_zp3Eh3nuEHvMbdKkqg,,,,,
123 GO! Kevin,123 GO! Kevin, -ZT8Z99IaoA_aZKtsbIFug,,,,123gokevin.es,http://youtube.com/channel/UC-ZT8Z99IaoA_aZKtsbIFug,,US,,,Entertainment,"food,practical joke,handicraft,short film,TikTok,hair,comedy,cosmetics,humor,Internet meme,YouTube,lipstick",Howto & Style,,,https://www.tiktok.com/@123gokevin.es,https://tubularlabs.com/creator/tj3GmyrybZ03VUdFd01,1607804,,,,0.7459,,,,22104,,,,5830000,,,,,41400,5509691687,,,,,145941399,,,,5593,,,,173,60000,,,,,-100,-0.7727272727272727,,,,,,123098975,,,,2575,-0.729203878070336,,,,,1407602,,,,155,-0.7688134064382977,,,,1.4603174603174602,629.2479177164656,20240406T204502Z,0.010291595197255001,,,,,-0.0024154589371980003,179,0,US,28.413284132841326,GB,7.380073800738007,IN,5.535055350553505,,,,,,,46.78829104711545,53.21170895288455,2024-03,,yta_-ZT8Z99IaoA_aZKtsbIFug,,,,,tka_7028610432202408966
Health in the kitchen,Health in the kitchen,Pm9MCyhiDwpBR2Nzv9o7Pg,,,,,http://youtube.com/channel/UCPm9MCyhiDwpBR2Nzv9o7Pg,,US,,,Beauty,"facial mask,skin care,cosmetics,face,anti-aging cream,moisturizer,remedy,human ageing,wrinkle,xeroderma,facial,skin",People & Blogs,,,,https://tubularlabs.com/creator/tg25WBVnvo03Y5dQ701,66433,,,,2.4625,,,,3010,,,,1450000,,,,,,121745138,,,,,3505030,,,,293,,,,,90000,,,,,,1.6666666666666667,,,,,,5602703,,,,,0.8722582977887267,,,,,160521,,,,,0.5781448163987613,,,,,629.0604172517175,20240405T153657Z,0.062068965517241004,,,,,,13,,US,37.93402777777778,BR,6.076388888888888,CA,4.513888888888888,,,,,,,27.132317716668027,72.86768228333197,2024-03,,yta_Pm9MCyhiDwpBR2Nzv9o7Pg,,,,,
Trulee Rodney,Trulee Rodney,vPfa7yll5K_7VG5hA9lZVQ,,trulee0,trulee,trulue,http://youtube.com/channel/UCvPfa7yll5K_7VG5hA9lZVQ,,US,,,Beauty,"hairstyle,curly hair,hair care,cosmetics,bun,hair,mascara,hair coloring,hair straightening",Howto & Style,Video creator,,https://www.tiktok.com/@trulue,https://tubularlabs.com/creator/5LJ9doRhH03UKm1T01,652819,,,1154356,3.5151,,,2.8066,42222,,11796,129592,943000,109219,141105,,,1400000,597306332,53905824,49014,,,30812307,753186,3945137,,540,153,644,,1550,39000,0,3446,,,100000,0.6226415094339622,,-0.26302516499436607,,,-0.5702621400945423,57086822,13,,,96789313,0.4809867578819201,-0.07142857142857142,,,-0.5702621400945423,3580963,0,456354,,7866736,1.0693048023276308,,0.25225079371177217,,0.31743250967173947,628.9930640082471,20240406T164528Z,0.04135737009544,0.0,0.024421530066262003,,,0.07142857142857101,26,31,US,75.49636803874093,CA,5.423728813559322,GB,4.648910411622276,,,,,,,19.110719884257634,80.88928011574237,2024-03,,yta_vPfa7yll5K_7VG5hA9lZVQ,fba_101387066205474,iga_261529493,,,tka_1486611
