Video_Title,Platform,YouTube_AdWords_Placement,YouTube_Video_ID,Video_URL,YouTube_Category,Views,V1,V2,V3,V7,V30,Total_Engagements,ER1,ER2,ER3,ER7,ER30,E1,E2,E3,E7,E30,Likes,Comments,Twitter Favorites,Tweets,Facebook_Total_Engagements,Facebook_Likes,Facebook_Comments,Facebook_Loves,Facebook_Hahas,Facebook_Wows,Facebook_Sads,Facebook_Angrys,Facebook_Page_URL,Instagram handle,TikTok_Account_URL,Topics,YouTube_Topics,Published_Date,Creator,Creator_FollowerCount_or_YouTube_Subscribers,Creator_Country,Creator_Genre,YouTube_Channel_ID,Duration (seconds),Live,Categories,Sound Title,Sound Author
How to build discipline & destroy procrastination,youtube,www.youtube.com/watch?v=DSLdGsVf-Pk,DSLdGsVf-Pk,https://www.youtube.com/watch?v=DSLdGsVf-Pk,People & Blogs,64488,15939,22919,27394,35376,51019,5188,5.31279993057251,4.975200176239014,4.993599891662598,5.012800216674805,4.71589994430542,1990,2520,2859,3458,4403,5055,133,,,,,,,,,,,,,https://www.tiktok.com/@simonesquared,"procrastination,exertion,BetterHelp,psychotherapy",Lifestyle,2024-01-15 12:31,simonesimmo,248000,US,Entertainment,LVh51gNYsmB8LCK6sePlJw,812,False,"Health & Fitness,Health & Fitness/Health,People & Lifestyles",,
Do this to Stop Procrastinating  #motivation #yourdestiny #procrastination,youtube,www.youtube.com/watch?v=OUV-bLrfIas,OUV-bLrfIas,https://www.youtube.com/watch?v=OUV-bLrfIas,Education,39773,21086,26688,29659,32321,,5128,6.151299953460693,6.127900123596191,6.2846999168396,6.679500102996826,,3087,3647,3933,4253,,5110,18,,,,,,,,,,,,,,,Entertainment,2024-02-29 12:30,Kennet Alphy,155000,IN,People & Blogs,LvydIgNyNSI-eMy8-gw-Ng,36,False,,,
7 Steps To Kill PROCRASTINATION in 2024 (NO BS Guide),youtube,www.youtube.com/watch?v=rcttscmyhQ8,rcttscmyhQ8,https://www.youtube.com/watch?v=rcttscmyhQ8,People & Blogs,50115,,,10402,15245,33273,4776,,,6.435100078582764,6.132299900054932,5.557600021362305,,,1399,1823,3384,4471,305,,,,,,,,,,,,,,,Lifestyle,2024-01-03 04:27,Nilesh ,26600,IN,Beauty,ToYg0-osEyxqOCWUUarxAg,447,False,,,
21 INSANE WAYS to Beat PROCRASTINATION in 2024! | Ankur Warikoo Hindi,youtube,www.youtube.com/watch?v=L1ra3Jlupx4,L1ra3Jlupx4,https://www.youtube.com/watch?v=L1ra3Jlupx4,Education,103785,44370,61603,69834,86468,97857,4624,2.5460000038146973,2.40910005569458,2.453700065612793,2.490999937057495,2.49589991569519,2666,3265,3547,4157,4494,4461,163,,,,,,,,,,,https://www.facebook.com/107594063255738?brand_redir=DISABLE,ankurwarikoo,https://www.tiktok.com/@ankur.warikoo,,Society,2023-12-26 14:30,warikoo,3770000,IN,People & Blogs,RzYN32xtBf3Yxsx5BvJWJw,1370,False,,,
"HOW TO OVERCOME PROCRASTINATION 📈student tips, mastering discipline, & how to stress less",youtube,www.youtube.com/watch?v=Nq6wO8qlavU,Nq6wO8qlavU,https://www.youtube.com/watch?v=Nq6wO8qlavU,Education,78692,13837,20042,25134,40445,73803,4428,4.09630012512207,3.890899896621704,3.78819990158081,3.539299964904785,3.116400003433227,1349,1739,2009,2820,4232,4334,94,,,,,,,,,,,,,,,"Health,Lifestyle",2024-02-10 23:27,mikayla mags,433000,US,Entertainment,4wL82JgBYScl9u263nC3cw,1373,False,,,
INS & OUTS FOR 2024 : CELIBACY + PROCRASTINATION + OVERSHARING //XOLIGCABASHEVLOGS,youtube,www.youtube.com/watch?v=sJ3hss1O-q0,sJ3hss1O-q0,https://www.youtube.com/watch?v=sJ3hss1O-q0,People & Blogs,51623,18703,27459,31732,39792,50177,4405,6.042900085449219,5.44789981842041,5.361899852752685,5.115099906921387,4.753699779510498,2656,3306,3556,3969,4365,3752,653,,,,,,,,,,,,miss_xo6,,celibacy,Lifestyle,2024-01-22 18:28,XOLI GCABASHE,160000,ZA,People & Blogs,A_hVhzNPusY3x9WYG9-YVA,2606,False,People & Lifestyles,,
How to FIGHT procrastination and monotony in UPSC preparation | Productivity tools Manuj Jindal IAS,youtube,www.youtube.com/watch?v=Li8sjw-BgZw,Li8sjw-BgZw,https://www.youtube.com/watch?v=Li8sjw-BgZw,Education,66275,21610,28085,33319,43823,61972,3959,3.750999927520752,3.639899969100952,3.618900060653686,3.56469988822937,3.360599994659424,1913,2249,2496,3015,3832,3776,183,,,,,,,,,,,,,,master's degree,Knowledge,2023-12-24 04:30,Manuj Jindal IAS,598000,IN,Education,WxfEDnM8H1cRB2_U7dGIvQ,875,False,"Career & Education,Career & Education/Education",,
Procrastination hacks #medicine #inspiration #study #motivation #doctor #healthcare #viral #shorts,youtube,www.youtube.com/watch?v=TJ_6UZIr3XY,TJ_6UZIr3XY,https://www.youtube.com/watch?v=TJ_6UZIr3XY,People & Blogs,36056,6075,7976,9601,15253,29930,3910,7.97130012512207,7.766499996185303,7.664700031280518,7.258800029754639,6.156400203704834,1138,1369,1538,2159,3372,3889,21,,,,,,,,,,,,,https://www.tiktok.com/@mlnewng,"health care,medicine,physician,procrastination","Health,Lifestyle,Pop music",2024-01-22 15:42,mlnewng,136000,US,Entertainment,9Af1bn_bc6_Lwrr4SM6Qkg,10,False,"Health & Fitness,Health & Fitness/Health",,
Neuroscientist: This Simple Habit STOPS PROCRASTINATION,youtube,www.youtube.com/watch?v=v807bcTpdgY,v807bcTpdgY,https://www.youtube.com/watch?v=v807bcTpdgY,People & Blogs,118144,3281,4500,5394,12863,90237,3801,3.229399919509887,2.9159998893737793,2.936100006103515,2.248500108718872,1.745300054550171,249,290,331,564,2882,3706,95,,,,,,,,,,,,,,"science,professor,neuroscience,psychiatry,medicine,behavioral sciences","Health,Knowledge",2024-01-26 16:00,RESPIRE,203000,US,"Health, Fitness & Self Help",yNaCRf6Aaljcm9ZWARawXw,491,True,"Career & Education,Science & Technology,Science & Technology/Science",,
FOR THOSE WHO ALWAYS PROCRASTINATE | How to Overcome  Procrastination | Gyankunda,youtube,www.youtube.com/watch?v=n6R_C3RRcnk,n6R_C3RRcnk,https://www.youtube.com/watch?v=n6R_C3RRcnk,Education,154146,7429,11515,14074,25593,121733,3677,1.7419999837875362,1.557700037956237,1.5625,1.4519000053405762,1.352699995040893,308,400,464,732,3030,3555,122,,,,,,,,,,,,,,procrastination,Religion,2024-02-03 14:15,Gyankunda,146000,NP,People & Blogs,GXsIoYZeQ0QPd5QhuHWcDg,2158,True,Health & Fitness,,
This odd mindset shift cured my procrastination forever.,youtube,www.youtube.com/watch?v=FC4jcrB4RHc,FC4jcrB4RHc,https://www.youtube.com/watch?v=FC4jcrB4RHc,People & Blogs,35192,8338,11076,12413,25026,,3373,5.158100128173828,5.120200157165527,5.192500114440918,5.082200050354004,,1015,1259,1360,2531,,3194,179,,,,,,,,,,,,,,,Society,2024-03-06 21:58,SpoonFedStudy,42900,US,Education,1Co9XZd52hiVrePGZ8qfoQ,577,False,"People & Lifestyles,People & Lifestyles/Personal Philosophy",,
Roblox Procrastination Predicament 💀💀💀 #shorts #minebot #roblox #robloxanimation #recommended,youtube,www.youtube.com/watch?v=C6DDii28g1Q,C6DDii28g1Q,https://www.youtube.com/watch?v=C6DDii28g1Q,Gaming,66236,10853,14225,19783,27101,,3339,2.187400102615356,2.301300048828125,2.211199998855591,2.464900016784668,,565,730,923,1316,,3238,101,,,,,,,,,,,,,,,"Role-playing video game,Video game culture",2024-02-21 23:58,Minebot,1420000,US,Gaming,PDkL9bIN4IuTcdTrp5U5aQ,16,False,"Video Games,Video Games/Video Games Media",,
"If you struggle with procrastination, do this.",youtube,www.youtube.com/watch?v=8eUTtYt9bWM,8eUTtYt9bWM,https://www.youtube.com/watch?v=8eUTtYt9bWM,Education,19149,6587,8961,10895,15859,19084,3295,8.050000190734863,8.547300338745117,9.182900428771973,9.15429973602295,9.366499900817871,1262,1708,2111,2860,3289,3252,43,,,,,,,,,,,https://www.facebook.com/706130189423384?brand_redir=DISABLE,myrongolden,https://www.tiktok.com/@myrongoldenofficial,,,2024-02-17 15:00,Myron Golden,609000,US,People & Blogs,baQv8_DS1n8puOnJRzLPzw,51,False,Pop Culture & Entertainment,,
A Thought to Overcome Procrastination,youtube,www.youtube.com/watch?v=TjJEVjvGDLA,TjJEVjvGDLA,https://www.youtube.com/watch?v=TjJEVjvGDLA,People & Blogs,18268,8901,10330,11147,12848,18268,2758,7.065899848937988,7.385200023651123,7.700500011444092,8.11460018157959,8.25,1478,1686,1794,2033,2758,2713,45,,,,,,,,,,,,pramila.dhyani,https://www.tiktok.com/@pramiladhyani1,,Lifestyle,2024-01-24 08:47,Pramila Dhyani,224000,IN,"Health, Fitness & Self Help",hh0DE4LosUyXSiZA0Yn1RQ,52,False,People & Lifestyles,,
Neuroscientist:The 15-Second Rule That Makes Procrastination Impossible|Middle Class Money|Hosting,youtube,www.youtube.com/watch?v=0woxc57gki8,0woxc57gki8,https://www.youtube.com/watch?v=0woxc57gki8,Education,39955,19933,24827,27861,32737,38808,2731,3.737299919128418,3.699100017547607,3.844399929046631,3.859400033950805,3.774199962615967,1773,2048,2260,2489,2695,2548,183,,,,,,,,,,,,,,"purchasing,stock,Internet,money,wealth,money management,earnings,stock market",Society,2024-02-04 06:11,Fundoo Programming,1570000,IN,"Health, Fitness & Self Help",90F0i80IZEHqm6PCAHk1BQ,745,False,"Business & Finance,Business & Finance/Finance,Business & Finance/Finance/Financial Planning,Business & Finance/Marketing,Business & Finance/Marketing/Advertising & Commercials",,
How to avoid procrastination,youtube,www.youtube.com/watch?v=2ihyCjWp1YE,2ihyCjWp1YE,https://www.youtube.com/watch?v=2ihyCjWp1YE,Education,26351,8327,10596,12828,18419,22680,2515,4.737199783325195,4.821300029754639,4.796599864959717,4.724800109863281,5.117499828338623,927,1129,1286,1697,2124,2469,46,,,,,,,,,,,https://www.facebook.com/102541251160828?brand_redir=DISABLE,,,abstinence,Knowledge,2024-01-25 05:40,The Curious Cobra,613000,IN,News & Politics,8LQKvQviSRXGuz5wrXdmmw,60,False,"Health & Fitness,Health & Fitness/Health,People & Lifestyles",,
Don't let procrastination kill your hopes and dreams.,youtube,www.youtube.com/watch?v=jvN8igg17XE,jvN8igg17XE,https://www.youtube.com/watch?v=jvN8igg17XE,Entertainment,32789,7738,10778,13231,17938,27346,2324,4.238399982452393,4.065499782562256,4.085700035095215,4.12470006942749,3.978800058364868,774,964,1119,1428,2002,2179,145,,,,,,,,,,,https://www.facebook.com/246686818686875?brand_redir=DISABLE,tailopez,https://www.tiktok.com/@tailopez,,Lifestyle,2023-12-23 17:58,Tai Lopez,2430000,US,People & Blogs,ZGNLDywn8hgzqrC9Mlz_Pw,596,False,,,
Every Procrastination Trap Explained in 8 Minutes,youtube,www.youtube.com/watch?v=zslEbmkfk2s,zslEbmkfk2s,https://www.youtube.com/watch?v=zslEbmkfk2s,Entertainment,33381,,3887,5666,13288,31737,2151,,3.726300001144409,3.546600103378296,3.438100099563598,3.524199962615967,,323,424,900,2058,2044,107,,,,,,,,,,,,,,,Knowledge,2024-02-13 20:24,Quick2Get,14500,US,General Interest,t3q-TbsTnT3uETuED_Ei4A,487,False,,,
Confessions - The Dangers of Procrastination,youtube,www.youtube.com/watch?v=p9UObCKBDIo,p9UObCKBDIo,https://www.youtube.com/watch?v=p9UObCKBDIo,Entertainment,24471,17607,20452,21918,23649,24301,2091,4.42519998550415,4.334199905395508,4.429299831390381,4.512599945068359,4.70419979095459,1831,1959,2029,2081,2092,1926,165,,,,,,,,,,,https://www.facebook.com/72063929429?brand_redir=DISABLE,iamcreflodollar,https://www.tiktok.com/@iamcreflodollar,,"Religion,Society",2024-01-22 15:00,Creflo Dollar Ministries,450000,US,People & Blogs,BEcQzSjUXZcoeK7_Yy69sA,1955,True,,,
What is Procrastination? | How to Stop Procrastinating | Time Management | Stop Wasting your Time!,youtube,www.youtube.com/watch?v=DJJYrSoVmWM,DJJYrSoVmWM,https://www.youtube.com/watch?v=DJJYrSoVmWM,Education,28009,11910,16074,19411,24505,,2051,4.466300010681152,4.271200180053711,4.104300022125244,3.973099946975708,,1266,1531,1681,1918,,1974,77,,,,,,,,,,,,,,,Society,2024-02-28 14:51,Soban Attari,629000,PK,"Health, Fitness & Self Help",s03Xqn7iGA4UqjYPZx_6Gg,615,False,,,
Do you struggle with procrastination?,youtube,www.youtube.com/watch?v=Ry_MgBcDUfw,Ry_MgBcDUfw,https://www.youtube.com/watch?v=Ry_MgBcDUfw,Education,36098,16438,20496,22842,27307,33743,2020,2.98740005493164,2.92519998550415,2.947200059890747,2.9540998935699463,3.109299898147583,1154,1325,1407,1573,1920,2002,18,,,,,,,,,,,https://www.facebook.com/195803507838611?brand_redir=DISABLE,aliabdaal,https://www.tiktok.com/@aliabdaal,,,2024-01-04 13:00,Ali Abdaal,5330000,GB,Science & Tech,oOae5nYA7VqaXzerajD0lg,30,False,"Health & Fitness,Health & Fitness/Mind & Body",,
How To Stop Procrastination and Stop Laziness (DEF05),youtube,www.youtube.com/watch?v=QlyoFBguDXM,QlyoFBguDXM,https://www.youtube.com/watch?v=QlyoFBguDXM,People & Blogs,35995,11939,15805,18919,24354,31832,1968,3.539299964904785,3.389699935913086,3.36870002746582,3.291199922561645,3.158699989318847,993,1184,1332,1563,1840,1870,98,,,,,,,,,,,https://www.facebook.com/1552276665069729?brand_redir=DISABLE,jockowillink,,"United States Navy SEALs,military,navy,extremism,obstacle",Religion,2024-01-05 17:16,Jocko Podcast,1850000,US,Animals & Pets,kqcY4CAuBFNFho6JgygCnA,483,False,"News, Government & Politics,News, Government & Politics/Military & Defense,News, Government & Politics/News",,
Dumb Things That Happened Because of Procrastination,youtube,www.youtube.com/watch?v=TeAtaQ_0ptI,TeAtaQ_0ptI,https://www.youtube.com/watch?v=TeAtaQ_0ptI,Education,41058,17882,24544,26454,31132,38031,1957,2.826999902725219,2.64739990234375,2.759999990463257,2.8168001174926762,2.6984000205993652,1188,1436,1526,1710,1878,1865,92,,,,,,,,,,,,,,,Society,2024-01-05 22:00,Nutty History,690000,US,News & Politics,-yCUq1xtoxlaCEpaBxHAeA,578,False,Pop Culture & Entertainment,,
The Easy Way to Avoid Procrastination,youtube,www.youtube.com/watch?v=XNzuXe3gRx4,XNzuXe3gRx4,https://www.youtube.com/watch?v=XNzuXe3gRx4,People & Blogs,35180,12593,19528,24843,29009,,1931,2.402299880981445,2.401999950408935,2.49340009689331,2.6598000526428223,,720,1046,1307,1520,,1923,8,,,,,,,,,,,https://www.facebook.com/138582972881318?brand_redir=DISABLE,entreleadership,https://www.tiktok.com/@entreleadership,,,2024-02-27 16:00,EntreLeadership,151000,US,Business,Owu527B6ufdcVl8l0VYqtQ,58,False,,,
the superior form of procrastination. #shorts #funny #relatable,youtube,www.youtube.com/watch?v=pb4V8MgT36g,pb4V8MgT36g,https://www.youtube.com/watch?v=pb4V8MgT36g,People & Blogs,24315,9200,10478,10974,14930,,1823,2.68090009689331,2.858900070190429,3.135400056838989,3.852200031280517,,587,668,726,1133,,1776,47,,,,,,,,,,,,,,humor,Pop music,2024-02-27 01:48,Adam Allanator,52500,US,Entertainment,jRwDxyDMpso48z1gUym3nQ,9,False,"Pop Culture & Entertainment,Pop Culture & Entertainment/Humor",,
How David Goggins avoids procrastination,youtube,www.youtube.com/watch?v=yKerlNxFUAg,yKerlNxFUAg,https://www.youtube.com/watch?v=yKerlNxFUAg,People & Blogs,24516,8630,10563,12050,13677,23935,1811,2.031500101089477,2.034800052642822,2.144200086593628,2.710900068283081,4.059299945831299,412,475,540,723,1778,1795,16,,,,,,,,,,,,,,short film,Entertainment,2024-01-28 10:34,TrueTalkSession,2520,NL,Entertainment,ZVpcP5brGjlpIS6nNVHkQg,44,False,"Pop Culture & Entertainment,Pop Culture & Entertainment/Humor",,
The Procrastination-Anxiety Spiral 😵‍💫,youtube,www.youtube.com/watch?v=mCjjHgLzdN8,mCjjHgLzdN8,https://www.youtube.com/watch?v=mCjjHgLzdN8,Education,30673,15424,19269,21650,25516,29511,1695,2.824100017547607,2.837800025939941,2.860599994659424,2.954600095748901,3.058900117874145,1028,1203,1282,1455,1661,1685,10,,,,,,,,,,,https://www.facebook.com/195803507838611?brand_redir=DISABLE,aliabdaal,https://www.tiktok.com/@aliabdaal,,Health,2023-12-30 13:00,Ali Abdaal,5330000,GB,Science & Tech,oOae5nYA7VqaXzerajD0lg,53,False,,,
